CRASH_ID,CTY_NAME,MUN_NAME,DATE,DAY,TIME,POL_CODE,POL_DEPT,POL_STA,KILLED,INJURED,PED_KILL,PED_INJ,SEVERITY,INTERSEC,ALCOHOL,HAZMAT,CRASH_TYPE,VEH_COUNT,LOCATION,LOC_DIR,ROUTE,RT_SFX,SRI,MP,RD_SYS,RD_CHAR,RD_SURF,SURF_COND,LIGHT,WEATHER,RD_DIV,RD_WRKZN,X_DIST,DIST_UNT,X_DIR,X_NAME,IS_RAMP,RAMP_RT,RAMP_DIR,SPD_LMT,SPD_X,LAT,LONG,CELL_USE,PROP_DMG,BADGE,TIME_ROUND,TMC
20180212BS-18-036650           ,BERGEN      ,EAST RUTHERFORD BORO    ,6/11/2018,MO,823,5,BERGEN CO SHERIFFS DEPT  ,PARAMUS        ,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.96,2,,2,1,1,1,1,1,100,FE,N,TURN PIKE SOUTH EXIT               ,,,,55,55,,,N,,239,8:25,120-04733
20160212ER-16-03468            ,BERGEN      ,EAST RUTHERFORD BORO    ,4/29/2016,F ,1641,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.49,2,5,1,1,1,5,1,1,,,E,,,,,55,,,,N,,126,16:40,120-04732
20170212ER-17-01216            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/10/2017,FR,811,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,3,NJ 3                                              ,E,3,,00000003__      ,7.2,2,,2,2,1,1,1,1,,,E,,,,,55,,,,N,,,8:10,120-04734
20180212ER-09578               ,BERGEN      ,EAST RUTHERFORD BORO    ,12/3/2018,MO,2321,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.95,2,,2,2,6,2,2,1,,,,,F,NJ 120                   ,SB,50,,,,N,,150,23:20,120-04733
20130212ER-13-00956            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/3/2013,S ,1105,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,6.9,2,2,2,2,1,1,1,1,,,,,,,,55,,,,N,,127,11:05,120N04735
20170212ER-17-01227            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/10/2017,FR,1432,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,8.1,2,,2,1,1,1,2,5,,,,,,,,55,,,,N,FACE OF METAL GUARDRAIL                                                         ,131,14:30,120-04733
20150212ER-15-01064            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/4/2015,W ,1853,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.4,2,1,2,2,7,1,4,2,,,,,,,,55,,,,N,,145,18:55,120-04732
20160212ER-16-03557            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/3/2016,TU,914,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,6.9,2,2,1,2,1,2,1,1,,,,,,,,55,,,,N,NONE                                                                            ,131,9:15,120N04735
20180212ER-18-00232            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/8/2018,MO,1419,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8,2,,2,1,1,5,1,1,,AT,,,F,CR 120                   ,SB,55,,,,N,,142,14:20,120-04733
20140212ER-14-01431            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/15/2014,SA,22,1,EAST RUTHERFORD PD       ,EAST RUTHERFORD,0,0,0,0,P,I,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,1,2,1,6,1,1,,,AT,E,,,,,55,,40.79798,74.06758,N,,143,2:20,120N04733
20180212ER-18-00321            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/11/2018,TH,642,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,6.9,2,,2,1,7,1,1,1,,,,,,,,55,,,,N,,144,6:40,120N04735
20160212ER-16-03638            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/6/2016,F ,1405,1,EAST RUTHERFORD PD       ,ERPD           ,0,0,0,0,P,I,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.1,2,4,2,2,1,1,1,1,,AT,,,,,,55,,,,N,,143,14:05,120N04735
20170212ER-17-01909            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/9/2017,TH,804,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,3,NJ 3                                              ,E,3,,00000003__      ,8.1,2,,2,1,1,1,1,1,,,E,,,,,55,,,,N,,,8:05,120-04733
20130212ER-13-01070            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/7/2013,TH,2048,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.5,2,1,2,1,4,1,1,1,,,,,,,,55,,,,N,,145,20:50,120-04734
20150212ER-15-01835            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/27/2015,F ,1524,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.1,2,1,2,1,1,1,5,1,,,E,,,,,55,,,,N,,144,15:25,120-04733
20170212ER-17-01912            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/9/2017,TH,902,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.1,2,,2,1,1,1,1,1,,,E,,,,,55,,,,N,,140,9:00,120-04733
20130212ER-13-01071            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/7/2013,TH,2048,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.5,2,1,2,1,4,1,1,1,,,,,,,,55,,,,N,,145,20:50,120-04734
20160212ER-16-03650            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/6/2016,F ,2317,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.8,2,4,2,2,6,2,1,1,,,E,,T,NJ 3                     ,SB,55,,,,N,GUARDRAIL                                                                       ,149,23:15,120-04733
20150212ER-15-01934            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/2/2015,M ,1547,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.9,2,1,2,1,1,1,1,1,,,,,,,,55,,,,N,,139,15:45,120-04733
20140212ER-14-01733            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/26/2014,W ,647,1,EAST RUTHERFORD PD       ,EAST RUTHERFORD,0,0,0,0,P,I,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,,2,1,2,1,1,1,1,1,,AT,N,,,,,55,,,,N,,146,6:45,120-07448
20160212ER-16-03754            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/9/2016,M ,1954,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.4,2,1,2,1,3,1,1,1,,,E,,,,,55,,,,N,,146,19:55,120-04734
20170212ER-17-02915            ,BERGEN      ,EAST RUTHERFORD BORO    ,4/8/2017,SA,1138,1,EAST RUTHERFORD PD       ,ERPD           ,0,0,0,0,P,B,N,N,15,4,NJ 3                                              ,E,3,,00000003__      ,7.56,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,,11:40,120-04734
20140212ER-14-05320            ,BERGEN      ,EAST RUTHERFORD BORO    ,6/18/2014,W ,616,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.1,2,1,2,1,1,1,4,1,,AT,,,,,,35,,40.79855,74.06853,N,,145,6:15,120-04733
20150212ER-15-01990            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/8/2015,S ,456,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,8.2,2,1,2,4,6,1,1,1,,,,,,,,55,,,,N,,147,4:55,120N04733
20180212ER-18-00374            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/12/2018,FR,1950,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.4,2,,2,2,6,2,1,1,,,,,,,,55,,,,N,,149,19:50,120-04732
20140212ER-14-05657            ,BERGEN      ,EAST RUTHERFORD BORO    ,6/28/2014,SA,716,1,EAST RUTHERFORD PD       ,EAST RUTHERFORD,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8,2,1,2,1,1,1,1,1,,,,,,,,40,,40.7991,74.06948,N,,146,7:15,120-04733
20180212ER-18-00465            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/16/2018,TU,822,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,151,8:20,120-04733
20150212ER-15-02041            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/5/2015,TH,920,1,EDGEWATER PARK TWP PD    ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,5,2,3,1,3,5,1,,,,,,,,,,,,N,,144,9:20,120N04733
20130212ER-13-01085            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/8/2013,F ,1252,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,8.3,2,2,2,4,1,6,5,1,,,,,,,,55,,,,N,,139,12:50,120N04733
20180212ER-18-00474            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/16/2018,TU,1818,1,EAST RUTHERFORD PD       ,,0,1,0,0,I,B,N,N,11,2,NJ 3                                              ,E,3,,00000003__      ,7,2,,2,1,7,1,1,2,,,,,T,ROUTE 3                  ,EB,35,,,,N,,126,18:20,120N04735
20160212ER-16-03856            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/13/2016,F ,2139,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.7,2,1,2,2,6,1,1,2,,,E,,,,,55,,,,N,NONE                                                                            ,150,21:40,120N04734
20170212ER-17-04230            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/13/2017,SA,2312,1,EAST RUTHERFORD PD       ,,1,5,0,0,F,B,N,N,1,4,NJ 3                                              ,E,3,,00000003__      ,8.4,2,,2,2,6,2,1,1,,,,,,,,55,,,,N,GUARD RAIL FACE                                                                 ,,23:10,120-04732
20170212ER-17-05389            ,BERGEN      ,EAST RUTHERFORD BORO    ,6/15/2017,TH,1038,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,3,NJ 3                                              ,E,3,,00000003__      ,7,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,144,10:40,120N04735
20130212ER-13-01287            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/14/2013,TH,935,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.2,2,1,2,1,1,1,1,1,,,,,,,,55,,,,N,,139,9:35,120-04734
20180212ER-18-00880            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/29/2018,MO,1610,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.56,2,,2,1,1,1,1,1,,,E,,,,,55,,,,N,,151,16:10,120-04734
20160212ER-16-03857            ,BERGEN      ,EAST RUTHERFORD BORO    ,5/13/2016,F ,2230,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.7,2,4,2,2,6,1,1,2,,,,,,,,55,,,,N,,146,22:30,120N04734
20150212ER-15-02108            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/8/2015,S ,127,1,EAST RUTHERFORD PD       ,,0,1,0,0,I,B,Y,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.8,2,1,2,1,6,1,1,1,,,E,N SERVICE RD                       ,,,,40,,,,N,GUARD RAIL                                                                      ,147,1:25,120-04733
20140212ER-14-05873            ,BERGEN      ,EAST RUTHERFORD BORO    ,7/5/2014,SA,1236,1,EAST RUTHERFORD PD       ,,0,1,0,0,I,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.96,2,4,2,1,1,1,1,1,,,,,,,,40,,40.79932,74.06986,N,,142,12:35,120-04733
20150212ER-15-02331            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/12/2015,TH,726,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7,2,1,2,1,1,1,2,,,,E,,,,,55,,,,N,NONE                                                                            ,132,7:25,120N04735
20140212ER-14-05960            ,BERGEN      ,EAST RUTHERFORD BORO    ,7/8/2014,TU,703,1,EAST RUTHERFORD PD       ,,0,1,0,1,I,B,N,N,13,1,NJ 3                                              ,E,3,,00000003__      ,7.4,2,1,2,1,1,1,1,1,,,,,,,,55,,40.80731,74.07715,N,,139,7:05,120-04734
20170212ER-17-05900            ,BERGEN      ,EAST RUTHERFORD BORO    ,7/2/2017,SU,1905,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.9,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,154,19:05,120-04733
20170212ER-17-06046            ,BERGEN      ,EAST RUTHERFORD BORO    ,7/7/2017,FR,1231,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7,2,,2,2,1,2,1,1,,,,,,,,55,,,,N,,144,12:30,120N04735
20180212ER-18-00936            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/31/2018,WE,725,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.3,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,145,7:25,120-04734
20150212ER-15-02480            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/16/2015,M ,644,1,EAST RUTHERFORD PD       ,EAST RUTHERFORD,0,1,0,0,I,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.1,2,1,2,1,2,1,1,1,,,,,,,,55,,,,N,,146,6:45,120-04733
